corrected_grade,COURSE_NAME,COURSE_NUMBER,grade_type,inc_ovrdue?,inc_pfa?,inc_project?,LETTER_GRADE,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
B,RA-Spanish 2,E200,project,FALSE,FALSE,FALSE,B,30580 E200,30580,80,,,0,84,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,B+,30580 I136,30580,100,84,,0,89,100
P,Education Pathways,I191,pnp_elec,FALSE,FALSE,FALSE,A,30580 I191,30580,100,90,,0,93,100
A-,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A-,30581 A300,30581,15,98,,0,91,100
A-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,A-,30581 B300,30581,100,89,,0,92,100
A,RA-Math III,C320,project,FALSE,FALSE,FALSE,A,30581 C320,30581,42,100,99,0,94,100
I,RA-Chemistry 11th,D200,project,FALSE,TRUE,FALSE,I,30581 D200,30581,16,98,,0,89,91
I,RA-Spanish 3,E300,project,FALSE,TRUE,FALSE,I,30581 E300,30581,0,,,0,85,75
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A,30581 I136,30581,100,92,,0,94,100
NP,Psychology Exploration - RA,I1103,pnp_elec,TRUE,FALSE,FALSE,I,30581 I1103,30581,0,100,,1,91,100
B,RA-AP US History,A300,project,FALSE,FALSE,FALSE,B,30582 A300,30582,38,85,,0,84,100
B+,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B+,30582 B300,30582,100,83,,0,88,100
B-,RA-AP Calculus AB,C400,project,FALSE,FALSE,FALSE,B-,30582 C400,30582,40,82,78,0,80,100
A-,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A-,30582 D200,30582,50,94,,0,91,100
B+,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,B+,30582 E300,30582,0,,,0,88,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A-,30582 I136,30582,100,88,,0,92,100
NP,Psychology Exploration - RA,I1103,pnp_elec,TRUE,FALSE,FALSE,I,30582 I1103,30582,0,93,,1,86,100
A,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A,30584 A300,30584,76,95,,0,94,100
A-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,A-,30584 B300,30584,100,86,,0,90,100
A-,RA-Math III,C320,project,FALSE,FALSE,FALSE,A-,30584 C320,30584,28,100,95,0,92,100
A,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A,30584 D200,30584,50,99,,0,95,100
A-,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,A-,30584 E300,30584,0,,,0,91,100
A+,Sociology of Law,G102,a_f_elec,FALSE,FALSE,FALSE,A+,30584 G102,30584,100,100,,0,100,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A,30584 I136,30584,100,91,,0,94,100
B,RA-AP Government,A400,project,FALSE,FALSE,FALSE,B,30585 A400,30585,50,86,,0,86,100
